mine_id,violation_type,first_detected,total_excavated_area_m2,max_area_m2,growth_consistency,num_time_periods,severity,status,zone_type
mine_0338,excavation_in_nogo_zone,2023-02-01,50042710.00400001,159776064.4753,0.5909090909090909,23,HIGH,ACTIVE,NO-GO
mine_0340,excavation_in_nogo_zone,2023-01-16,6808040.5600000005,8198683.2752,0.7727272727272727,23,HIGH,ACTIVE,NO-GO
mine_0310,excavation_in_nogo_zone,2023-02-01,5397131.941999999,27214016.018799998,0.6818181818181818,23,HIGH,ACTIVE,NO-GO
mine_0285,excavation_in_nogo_zone,2023-02-01,5224894.126199999,25753560.020999994,0.6818181818181818,23,HIGH,ACTIVE,NO-GO
mine_0142,excavation_in_nogo_zone,2023-01-16,5113935.0,94791870.0,0.5909090909090909,23,HIGH,ACTIVE,NO-GO
mine_0322,excavation_in_nogo_zone,2023-01-16,4596082.401599998,10881379.094399998,0.5,23,HIGH,ACTIVE,NO-GO
mine_0155,excavation_in_nogo_zone,2023-01-16,3318603.6735999994,11985178.675199999,0.6363636363636364,23,HIGH,ACTIVE,NO-GO
mine_0390,excavation_in_nogo_zone,2023-01-16,1346938.0715999976,15612973.010800002,0.6363636363636364,23,HIGH,ACTIVE,NO-GO
mine_0143,excavation_in_nogo_zone,2023-01-16,1289398.5583999995,7194296.2128,0.6363636363636364,23,HIGH,ACTIVE,NO-GO
mine_0325,excavation_in_nogo_zone,2023-02-01,1108934.19,9012297.035699999,0.6363636363636364,23,HIGH,ACTIVE,NO-GO
mine_0493,excavation_in_nogo_zone,2023-01-16,733849.8719999995,8164656.751999998,0.6818181818181818,23,HIGH,ACTIVE,NO-GO
mine_0147,excavation_in_nogo_zone,2023-01-16,716892.4909999985,16891357.7777,0.6818181818181818,23,HIGH,ACTIVE,NO-GO
mine_0309,excavation_in_nogo_zone,2023-02-01,686320.2171000001,7413922.078200001,0.6363636363636364,23,HIGH,ACTIVE,NO-GO
mine_0106,excavation_in_nogo_zone,2023-01-16,684217.2852000002,1211434.2840000002,0.6363636363636364,23,HIGH,ACTIVE,NO-GO
mine_0384,excavation_in_nogo_zone,2023-02-01,668932.2759,21578385.133100003,0.6363636363636364,23,HIGH,ACTIVE,NO-GO
mine_0100,excavation_in_nogo_zone,2023-01-16,497658.2400000001,1253013.12,0.6818181818181818,23,HIGH,ACTIVE,NO-GO
mine_0334,excavation_in_nogo_zone,2023-02-01,272972.1631,20757952.449,0.6818181818181818,23,HIGH,ACTIVE,NO-GO
mine_0311,excavation_in_nogo_zone,2023-02-01,258761.117,10974612.3917,0.6818181818181818,23,HIGH,ACTIVE,NO-GO
mine_0157,excavation_in_nogo_zone,2023-01-16,163984.25,13613400.25,0.6363636363636364,23,HIGH,ACTIVE,NO-GO
mine_0113,excavation_in_nogo_zone,2023-01-16,96103.01119999998,1237015.1935999999,0.7727272727272727,23,HIGH,ACTIVE,NO-GO
mine_0160,excavation_in_nogo_zone,2023-02-01,80173.53920000001,9230301.980800001,0.6818181818181818,23,HIGH,ACTIVE,NO-GO
mine_0137,excavation_in_nogo_zone,2023-01-16,55854.45360000001,1001409.0165,0.5909090909090909,23,HIGH,ACTIVE,NO-GO
mine_0145,excavation_in_nogo_zone,2023-01-16,37631.31480000168,10551214.0449,0.6363636363636364,23,HIGH,ACTIVE,NO-GO
mine_0065,excavation_in_nogo_zone,2023-02-01,5026.6062,1210403.5713,0.6818181818181818,23,MEDIUM,ACTIVE,NO-GO
mine_0225,excavation_in_nogo_zone,2023-02-01,4018.0833000000002,1372733.0694,0.5909090909090909,23,MEDIUM,ACTIVE,NO-GO
